contract_id,category,category_id,comp_nodes,coverage,alpha,error,diameter,est_apl,transitivity,density
88,defi,0,161352,0.999981,3.699406,0.015149,1.0841153786792683,0.27178305539941516,4.98974e-05,2.5514e-05
89,other,1,39938,1.0,9.77818,0.014654,0.3775335973941321,0.23946710685871495,0.0,0.000134489
90,defi,0,130649,1.0,4.956388,0.018632,0.9337647063897604,0.31576382552987475,3.44316e-05,2.32214e-05
91,games,6,51072,0.999785,2.49489,0.018618,3.320729418483599,0.275289852429548,0.00024043,5.99195e-05
92,other,1,93773,1.0,1.91397,0.051724,0.8734667848688575,0.2597691965133552,0.000343362,0.000109083
93,defi,0,106372,0.999887,3.068202,0.022346,1.1231394873620462,0.2837704357839554,0.000158747,3.85225e-05
94,defi,0,40623,1.0,5.341341,0.051081,0.6596250320185056,0.19309175292633485,0.000182632,0.000107109
95,other,1,295637,0.999746,3.590946,0.018918,1.5876937691631354,0.29503525865663954,7.2564e-05,1.07211e-05
96,other,1,277703,0.999993,3.367225,0.026177,1.9945258281997054,0.3093665930362674,4.59338e-05,1.15545e-05
97,storage,7,431525,1.0,14.250211,0.014759,0.30828324576157284,0.19332134058462475,1.54294e-05,8.1843e-06
98,defi,0,42109,0.993207,2.659823,0.015098,5.822680534654648,0.3056238611574226,0.000562492,0.000116667
99,other,1,15761,1.0,5.020244,0.035029,0.6207778176200828,0.23350712804233814,0.000878667,0.000511342
